Year,Units,Subject,Value
2015/16,Key Stage 1 (%),Reading,64
2015/16,Key Stage 1 (%),Maths,62
2016/17,Key Stage 1 (%),Reading,67
2016/17,Key Stage 1 (%),Maths,66
2017/18,Key Stage 1 (%),Reading,70
2017/18,Key Stage 1 (%),Maths,72
2018/19,Key Stage 1 (%),Reading,70
2018/19,Key Stage 1 (%),Maths,71
2015/16,Key Stage 2 (%),Reading,61
2015/16,Key Stage 2 (%),Maths,65
2016/17,Key Stage 2 (%),Reading,73
2016/17,Key Stage 2 (%),Maths,74
2017/18,Key Stage 2 (%),Reading,73
2017/18,Key Stage 2 (%),Maths,74
2018/19,Key Stage 2 (%),Reading,71
2018/19,Key Stage 2 (%),Maths,77
